Initiating user,Date entered,First Name:,Last Name:,Convo,Follow-Up? Yes/No,Tags,RACount,TotalCount
RA5,"March 10, 2021, 04:44 PM",A,0,i did a wellness check on a. he mentioned he signed up for an anxiety workshop. i will be checking in with him next week about it.,Yes,"Campus/Community Involvement, Goal Setting/Career Planning, Mental Health",1,1
RA1,"March 22, 2021, 08:55 PM",B,1,we discussed classes and plans for the summer.,No,"Academics, Goal Setting/Career Planning",1,2
RA1,"March 22, 2021, 08:57 PM",C,2,we talked about how classes are going and working with asynchronous classes.,No,Academics,2,3
RA8,"April 12, 2021, 08:04 PM",D,3,"we talked about class and how he dealt with personal issues, and talked about plan of summer",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Mental Health",1,4
RA7,"April 12, 2021, 08:05 PM",E,4,"e and i talked about where he is going to live next year, he told me he rushed a frat and is going to be living in next year and that he is excited. we talked more about things we had been doing to get out and enjoy the weather as well.",No,"Campus/Community Involvement, Mental Health",1,5
RA8,"April 12, 2021, 08:05 PM",F,5,"talked about plan in summer, the graduate school he is going to and the reserach in summer",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships",2,6
RA7,"April 12, 2021, 08:06 PM",G,6,i started the conversation by mentioning i saw him in the gym and then g and i talked about our favorite times to go and how it was a good way to get a break from school.,No,"Campus/Community Involvement, Mental Health",2,7
RA6,"April 12, 2021, 08:08 PM",H,7,talked about mechanical engineering and home.,No,Academics,1,8
RA7,"April 12, 2021, 08:08 PM",I,8,i was stressed about a calc 3 exam so i took some time to check and make sure that he was handling the stress well. he seemed to be doing okay and said that he was just tired of studying constantly. i told him to get outside to give his brain some time to relax and get some sun.,No,"Academics, Campus/Community Involvement, Mental Health",3,9
RA4,"April 12, 2021, 08:09 PM",J,9,"j and i discussed his current classes as well as how his weekend was. he said that his classes were going ok, but there was this one he's kind of been putting off that he needs to work on before the end of the semester. i encouraged him to try to stay ahead of it so that he doesn't fall behind in may. his weekend went well, according to him, as he met his family for lunch and got to spend some time with them. he has to take his roommate to a dentist appointment tomorrow so i wished him luck with that.",No,"Academics, Friends/Family/Relationships",1,10
RA7,"April 12, 2021, 08:09 PM",K,10,k and i talked about getting tickets for next years sporting events and how excited we were to actually be able to go and enjoy the games in person.,No,"Campus/Community Involvement, Mental Health",4,11
RA4,"April 12, 2021, 08:11 PM",L,11,"l and i caught up regarding his classes and guitar playing. today he played at the campus house church service, and has enjoyed the progress that he's made. classes have also been going fairly well for him, and i told him i was glad things haven't been super stressful.",No,"Academics, Campus/Community Involvement",2,12
RA5,"April 15, 2021, 09:04 PM",M,12,"discuess classes for this semester, said he did average",No,Academics,2,13
RA5,"April 15, 2021, 09:05 PM",N,13,told me he is doing absolutely wonderful,No,Mental Health,3,14
RA5,"April 15, 2021, 09:06 PM",O,14,talked about how he made friends this year from the community,No,Friends/Family/Relationships,4,15
RA5,"April 15, 2021, 09:07 PM",P,15,told me that classes went well and he learned to build good habits,No,Academics,5,16
RA5,"April 15, 2021, 09:08 PM",Q,16,told me he had the best relationship with his ra,No,Friends/Family/Relationships,6,17
RA5,"April 15, 2021, 09:09 PM",R,17,"classes went okay for him, he told me he had struggled with time management",No,Academics,7,18
RA5,"April 15, 2021, 09:10 PM",S,18,academics ended up being more of a stress than anything,No,Academics,8,19
RA5,"April 15, 2021, 09:11 PM",T,19,"told me that classes went about as expectted, there is always room for improvement. his words, not mine.",No,Academics,9,20
RA5,"April 15, 2021, 09:13 PM",U,20,"while the beginning of the semester was a struggle, but now things are getting a lot better.",No,Mental Health,10,21
RA5,"April 15, 2021, 09:16 PM",V,21,told me he was doing well!,No,Mental Health,11,22
RA5,"April 15, 2021, 09:17 PM",W,22,told me that things are moving upward!,No,Mental Health,12,23
RA5,"April 15, 2021, 09:18 PM",X,23,"average semester, could be better or worse. that's what i was told",No,Mental Health,13,24
RA5,"April 15, 2021, 09:19 PM",Y,24,"i was told covid sucks, but there were a few good people to meet.",No,Friends/Family/Relationships,14,25
RA5,"April 15, 2021, 09:20 PM",Z,25,classes were a yes this semester apparently,No,Academics,15,26
RA5,"April 15, 2021, 09:21 PM",A,26,classes were rough this semester for him.,No,Academics,16,27
RA5,"April 15, 2021, 09:23 PM",B,27,worked towards a goal of exercising once a week,No,Goal Setting/Career Planning,17,28
RA5,"April 15, 2021, 09:24 PM",C,28,classes went pretty well.,No,Academics,18,29
RA5,"April 15, 2021, 09:24 PM",D,29,accomplished his goal of not dropping out of any classes,No,Goal Setting/Career Planning,19,30
RA5,"April 15, 2021, 09:27 PM",E,30,"described his classes as being meh, but he got a 4.0.",No,Academics,20,31
RA5,"April 15, 2021, 09:27 PM",F,31,classes this semester went great!,No,Academics,21,32
RA5,"April 15, 2021, 09:28 PM",G,32,made friends outside of the dorm due to being in the military,No,Friends/Family/Relationships,22,33
RA5,"April 15, 2021, 09:31 PM",H,33,didn't set any goals this semester,No,Goal Setting/Career Planning,23,34
RA5,"April 15, 2021, 09:32 PM",I,34,he joined a business fraternity this semester,No,Campus/Community Involvement,24,35
RA5,"April 15, 2021, 09:35 PM",J,35,"he's ready to head home, being alone hits hard.",No,Mental Health,25,36
RA5,"April 15, 2021, 09:36 PM",K,36,overly stressed and needs a break,No,Mental Health,26,37
RA5,"April 15, 2021, 09:37 PM",L,37,i was told classes went pretty well,No,Academics,27,38
RA5,"April 15, 2021, 09:39 PM",M,38,"did well in classes, but 20 credits was a lot to take",No,Academics,28,39
RA5,"April 15, 2021, 09:41 PM",N,39,classes were pretty good this semester,No,Academics,29,40
