Initiating user,Date entered,First Name:,Last Name:,Convo,Follow-Up? Yes/No,Tags,RACount,TotalCount,corrected_convo,trimmed_convo,Academics,Campus/Community Involvement,Friends/Family/Relationships,Goal Setting/Career Planning,Finances,Mental Health,Social Justice,value,confidence,happiness_score
RA5,"March 10, 2021, 04:44 PM",A,0,i did a wellness check on a. he mentioned he signed up for an anxiety workshop. i will be checking in with him next week about it.,Yes,"Campus/Community Involvement, Goal Setting/Career Planning, Mental Health",1,1,i did a wellness check on a. he mentioned he signed up for an anxiety workshop. i will be checking in with him next week about it.,wellness check signed anxiety workshop checking next week,False,True,False,True,False,True,False,NEGATIVE,0.9472065567970276,0.05279344320297241
RA1,"March 22, 2021, 08:55 PM",B,1,we discussed classes and plans for the summer.,No,"Academics, Goal Setting/Career Planning",1,2,we discussed classes and plans for the summer.,class plan summer,True,False,False,True,False,False,False,POSITIVE,0.9316861033439636,0.9316861033439636
RA1,"March 22, 2021, 08:57 PM",C,2,we talked about how classes are going and working with asynchronous classes.,No,Academics,2,3,we talked about how classes are going and working with asynchronous classes.,class going working asynchronous class,True,False,False,False,False,False,False,POSITIVE,0.9970207810401917,0.9970207810401917
RA8,"April 12, 2021, 08:04 PM",D,3,"we talked about class and how he dealt with personal issues, and talked about plan of summer",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships, Mental Health",1,4,"we talked about class and how he dealt with personal issues, and talked about plan of summer",class dealt personal issue plan summer,True,True,True,False,False,True,False,POSITIVE,0.9662955403327942,0.9662955403327942
RA7,"April 12, 2021, 08:05 PM",E,4,"e and i talked about where he is going to live next year, he told me he rushed a frat and is going to be living in next year and that he is excited. we talked more about things we had been doing to get out and enjoy the weather as well.",No,"Campus/Community Involvement, Mental Health",1,5,"e and i talked about where he is going to live next year, he told me he rushed a frac and is going to be living in next year and that he is excited. we talked more about things we had been doing to get out and enjoy the weather as well.",e going live next year rushed frac going living next year excited thing get enjoy weather well,False,True,False,False,False,True,False,POSITIVE,0.9230496883392334,0.9230496883392334
RA8,"April 12, 2021, 08:05 PM",F,5,"talked about plan in summer, the graduate school he is going to and the reserach in summer",No,"Academics, Campus/Community Involvement, Friends/Family/Relationships",2,6,"talked about plan in summer, the graduate school he is going to and the research in summer",plan summer graduate school going research summer,True,True,True,False,False,False,False,POSITIVE,0.9884164929389954,0.9884164929389954
RA7,"April 12, 2021, 08:06 PM",G,6,i started the conversation by mentioning i saw him in the gym and then g and i talked about our favorite times to go and how it was a good way to get a break from school.,No,"Campus/Community Involvement, Mental Health",2,7,i started the conversation by mentioning i saw him in the gym and then g and i talked about our favorite times to go and how it was a good way to get a break from school.,started conversation mentioning saw gym g favorite time go good way get break school,False,True,False,False,False,True,False,POSITIVE,0.9211807250976562,0.9211807250976562
RA6,"April 12, 2021, 08:08 PM",H,7,talked about mechanical engineering and home.,No,Academics,1,8,talked about mechanical engineering and home.,mechanical engineering home,True,False,False,False,False,False,False,POSITIVE,0.9233274459838867,0.9233274459838867
RA7,"April 12, 2021, 08:08 PM",I,8,i was stressed about a calc 3 exam so i took some time to check and make sure that he was handling the stress well. he seemed to be doing okay and said that he was just tired of studying constantly. i told him to get outside to give his brain some time to relax and get some sun.,No,"Academics, Campus/Community Involvement, Mental Health",3,9,i was stressed about a calc 3 exam so i took some time to check and make sure that he was handling the stress well. he seemed to be doing okay and said that he was just tired of studying constantly. i told him to get outside to give his brain some time to relax and get some sun.,stressed calc 3 exam took time check make sure handling stress well seemed okay tired studying constantly get outside give brain time relax get sun,True,True,False,False,False,True,False,POSITIVE,0.6739213466644287,0.6739213466644287
RA4,"April 12, 2021, 08:09 PM",J,9,"j and i discussed his current classes as well as how his weekend was. he said that his classes were going ok, but there was this one he's kind of been putting off that he needs to work on before the end of the semester. i encouraged him to try to stay ahead of it so that he doesn't fall behind in may. his weekend went well, according to him, as he met his family for lunch and got to spend some time with them. he has to take his roommate to a dentist appointment tomorrow so i wished him luck with that.",No,"Academics, Friends/Family/Relationships",1,10,"j and i discussed his current classes as well as how his weekend was. he said that his classes were going ok, but there was this one he's kind of been putting off that he needs to work on before the end of the semester. i encouraged him to try to stay ahead of it so that he doesn't fall behind in may. his weekend went well, according to him, as he met his family for lunch and got to spend some time with them. he has to take his roommate to a dentist appointment tomorrow so i wished him luck with that.",j current class well weekend class going ok one kind putting need work end semester encouraged try stay ahead fall behind may weekend went well according met family lunch got spend time ha take roommate dentist appointment tomorrow wished luck,True,False,True,False,False,False,False,NEGATIVE,0.7099592685699463,0.2900407314300537
RA7,"April 12, 2021, 08:09 PM",K,10,k and i talked about getting tickets for next years sporting events and how excited we were to actually be able to go and enjoy the games in person.,No,"Campus/Community Involvement, Mental Health",4,11,k and i talked about getting tickets for next years sporting events and how excited we were to actually be able to go and enjoy the games in person.,k getting ticket next year sporting event excited actually able go enjoy game person,False,True,False,False,False,True,False,POSITIVE,0.998455286026001,0.998455286026001
RA4,"April 12, 2021, 08:11 PM",L,11,"l and i caught up regarding his classes and guitar playing. today he played at the campus house church service, and has enjoyed the progress that he's made. classes have also been going fairly well for him, and i told him i was glad things haven't been super stressful.",No,"Academics, Campus/Community Involvement",2,12,"l and i caught up regarding his classes and guitar playing. today he played at the campus house church service, and has enjoyed the progress that he's made. classes have also been going fairly well for him, and i told him i was glad things haven't been super stressful.",l caught regarding class guitar playing today played campus house church service ha enjoyed progress made class also going fairly well glad thing super stressful,True,True,False,False,False,False,False,POSITIVE,0.9941026568412781,0.9941026568412781
RA5,"April 15, 2021, 09:04 PM",M,12,"discuess classes for this semester, said he did average",No,Academics,2,13,"discuss classes for this semester, said he did average",discus class semester average,True,False,False,False,False,False,False,POSITIVE,0.654220461845398,0.654220461845398
RA5,"April 15, 2021, 09:05 PM",N,13,told me he is doing absolutely wonderful,No,Mental Health,3,14,told me he is doing absolutely wonderful,absolutely wonderful,False,False,False,False,False,True,False,POSITIVE,0.9935815334320068,0.9935815334320068
RA5,"April 15, 2021, 09:06 PM",O,14,talked about how he made friends this year from the community,No,Friends/Family/Relationships,4,15,talked about how he made friends this year from the community,made friend year community,False,False,True,False,False,False,False,POSITIVE,0.9858490228652954,0.9858490228652954
RA5,"April 15, 2021, 09:07 PM",P,15,told me that classes went well and he learned to build good habits,No,Academics,5,16,told me that classes went well and he learned to build good habits,class went well learned build good habit,True,False,False,False,False,False,False,POSITIVE,0.9854210019111633,0.9854210019111633
RA5,"April 15, 2021, 09:08 PM",Q,16,told me he had the best relationship with his ra,No,Friends/Family/Relationships,6,17,told me he had the best relationship with his ra,best relationship ra,False,False,True,False,False,False,False,POSITIVE,0.9976198077201843,0.9976198077201843
RA5,"April 15, 2021, 09:09 PM",R,17,"classes went okay for him, he told me he had struggled with time management",No,Academics,7,18,"classes went okay for him, he told me he had struggled with time management",class went okay struggled time management,True,False,False,False,False,False,False,NEGATIVE,0.9167323708534241,0.08326762914657593
RA5,"April 15, 2021, 09:10 PM",S,18,academics ended up being more of a stress than anything,No,Academics,8,19,academics ended up being more of a stress than anything,academic ended stress anything,True,False,False,False,False,False,False,NEGATIVE,0.997421383857727,0.0025786161422729492
RA5,"April 15, 2021, 09:11 PM",T,19,"told me that classes went about as expectted, there is always room for improvement. his words, not mine.",No,Academics,9,20,"told me that classes went about as expected, there is always room for improvement. his words, not mine.",class went expected always room improvement word mine,True,False,False,False,False,False,False,NEGATIVE,0.7250188589096069,0.27498114109039307
RA5,"April 15, 2021, 09:13 PM",U,20,"while the beginning of the semester was a struggle, but now things are getting a lot better.",No,Mental Health,10,21,"while the beginning of the semester was a struggle, but now things are getting a lot better.",beginning semester struggle thing getting lot better,False,False,False,False,False,True,False,POSITIVE,0.9964383840560913,0.9964383840560913
RA5,"April 15, 2021, 09:16 PM",V,21,told me he was doing well!,No,Mental Health,11,22,told me he was doing well!,well,False,False,False,False,False,True,False,POSITIVE,0.9659075736999512,0.9659075736999512
RA5,"April 15, 2021, 09:17 PM",W,22,told me that things are moving upward!,No,Mental Health,12,23,told me that things are moving upward!,thing moving upward,False,False,False,False,False,True,False,POSITIVE,0.9842069149017334,0.9842069149017334
RA5,"April 15, 2021, 09:18 PM",X,23,"average semester, could be better or worse. that's what i was told",No,Mental Health,13,24,"average semester, could be better or worse. that's what i was told",average semester could better worse,False,False,False,False,False,True,False,NEGATIVE,0.9977890253067017,0.00221097469329834
RA5,"April 15, 2021, 09:19 PM",Y,24,"i was told covid sucks, but there were a few good people to meet.",No,Friends/Family/Relationships,14,25,"i was told covid sucks, but there were a few good people to meet.",covid suck good people meet,False,False,True,False,False,False,False,POSITIVE,0.9386039972305298,0.9386039972305298
RA5,"April 15, 2021, 09:20 PM",Z,25,classes were a yes this semester apparently,No,Academics,15,26,classes were a yes this semester apparently,class yes semester apparently,True,False,False,False,False,False,False,POSITIVE,0.9635772705078125,0.9635772705078125
RA5,"April 15, 2021, 09:21 PM",A,26,classes were rough this semester for him.,No,Academics,16,27,classes were rough this semester for him.,class rough semester,True,False,False,False,False,False,False,NEGATIVE,0.9577933549880981,0.042206645011901855
RA5,"April 15, 2021, 09:23 PM",B,27,worked towards a goal of exercising once a week,No,Goal Setting/Career Planning,17,28,worked towards a goal of exercising once a week,worked towards goal exercising week,False,False,False,True,False,False,False,NEGATIVE,0.7259377241134644,0.27406227588653564
RA5,"April 15, 2021, 09:24 PM",C,28,classes went pretty well.,No,Academics,18,29,classes went pretty well.,class went pretty well,True,False,False,False,False,False,False,POSITIVE,0.987992525100708,0.987992525100708
RA5,"April 15, 2021, 09:24 PM",D,29,accomplished his goal of not dropping out of any classes,No,Goal Setting/Career Planning,19,30,accomplished his goal of not dropping out of any classes,accomplished goal dropping class,False,False,False,True,False,False,False,POSITIVE,0.9932971596717834,0.9932971596717834
RA5,"April 15, 2021, 09:27 PM",E,30,"described his classes as being meh, but he got a 4.0.",No,Academics,20,31,"described his classes as being meh, but he got a 4.0.",described class meh got 4 0,True,False,False,False,False,False,False,NEGATIVE,0.9418087005615234,0.05819129943847656
RA5,"April 15, 2021, 09:27 PM",F,31,classes this semester went great!,No,Academics,21,32,classes this semester went great!,class semester went great,True,False,False,False,False,False,False,POSITIVE,0.9824023842811584,0.9824023842811584
